STATIONS_ID;MESS_DATUM;TMK;TXK;TNK
4928;19580101;4.0;8.4;2.0
4928;19580102;1.3;4.5;-1.9
4928;19580103;-0.8;1.5;-1.5
4928;19580104;-2.0;1.0;-4.1
4928;19580105;5.0;7.8;-2.1
4928;19580106;7.0;10.2;3.4
4928;19580107;4.6;11.6;1.0
4928;19580108;2.4;4.0;0.4
4928;19580109;3.5;4.8;2.0
4928;19580110;2.8;6.0;1.6
4928;19580111;5.6;8.4;1.5
4928;19580112;1.3;4.7;0.7
4928;19580113;0.4;1.0;-0.2
4928;19580114;1.7;2.2;0.1
4928;19580115;1.0;2.1;0.2
4928;19580116;1.0;1.7;0.2
4928;19580117;0.7;1.6;-0.8
4928;19580118;2.3;3.2;1.4
4928;19580119;2.2;6.7;-0.8
4928;19580120;-3.1;-0.3;-4.5
4928;19580121;-1.8;0.1;-5.3
4928;19580122;-0.2;2.6;-5.8
4928;19580123;-2.8;0.3;-4.4
4928;19580124;-2.5;0.7;-9.9
4928;19580125;-2.2;1.5;-4.5
4928;19580126;-2.4;-0.5;-8.9
4928;19580127;1.4;5.9;-1.3
4928;19580128;-1.6;3.8;-6.1
4928;19580129;-2.8;1.5;-7.8
4928;19580130;-3.2;2.2;-8.6
4928;19580131;-0.2;2.8;-3.7
4928;19580201;-3.0;-0.4;-6.0
4928;19580202;-1.4;0.7;-4.0
4928;19580203;1.7;3.4;-3.3
4928;19580204;-2.0;2.3;-5.6
4928;19580205;4.7;6.8;-3.0
4928;19580206;-0.6;4.0;-2.3
4928;19580207;-2.4;0.0;-3.0
4928;19580208;6.2;8.6;-2.9
4928;19580209;7.1;12.2;4.9
4928;19580210;7.2;12.4;0.5
4928;19580211;7.1;11.1;3.7
4928;19580212;10.6;13.4;5.3
4928;19580213;12.0;14.5;10.2
4928;19580214;14.7;19.2;10.6
4928;19580215;13.6;17.7;7.7
4928;19580216;12.2;14.0;11.7
4928;19580217;3.8;12.0;0.6
4928;19580218;-1.0;1.9;-2.6
4928;19580219;-1.2;0.4;-3.7
4928;19580220;2.0;3.2;-1.8
4928;19580221;4.3;5.9;2.2
4928;19580222;-0.5;3.9;-1.9
4928;19580223;1.8;4.6;-3.0
4928;19580224;7.6;8.5;3.9
4928;19580225;8.8;12.5;3.9
4928;19580226;-0.9;7.8;-3.8
4928;19580227;-4.7;-2.3;-6.1
4928;19580228;-3.2;0.0;-9.0
4928;19580301;-2.0;1.5;-7.0
4928;19580302;0.7;2.4;-4.3
4928;19580303;2.0;2.7;1.0
4928;19580304;1.6;4.7;0.1
4928;19580305;3.8;8.9;-2.2
4928;19580306;3.4;6.9;0.0
4928;19580307;-0.8;3.7;-1.8
4928;19580308;-0.4;1.6;-3.0
4928;19580309;-1.3;1.8;-2.5
4928;19580310;-2.8;-1.2;-4.3
4928;19580311;-3.0;0.6;-6.9
4928;19580312;-2.2;0.8;-5.5
4928;19580313;-0.2;4.6;-5.0
4928;19580314;0.5;3.7;-1.5
4928;19580315;-1.8;1.8;-6.3
4928;19580316;-1.8;1.7;-4.9
4928;19580317;-0.8;3.7;-5.8
4928;19580318;-0.6;3.8;-5.9
4928;19580319;0.6;3.3;-4.0
4928;19580320;-1.4;1.1;-2.4
4928;19580321;-2.8;-0.6;-4.2
4928;19580322;-3.6;-0.4;-5.8
4928;19580323;-3.1;0.9;-7.0
4928;19580324;1.3;7.6;-5.9
4928;19580325;5.2;10.8;-3.7
4928;19580326;8.1;12.3;1.5
