STATIONS_ID;MESS_DATUM;TMK;TXK;TNK
3076;19470101;1.0;2.8;-1.1
3076;19470102;0.3;2.8;-2.3
3076;19470103;1.3;2.2;0.3
3076;19470104;-5.7;1.2;-9.0
3076;19470105;-10.4;-6.3;-14.5
3076;19470106;-12.4;-8.8;-14.8
3076;19470107;-9.6;-9.0;-15.5
3076;19470108;-6.5;-5.4;-9.0
3076;19470109;0.6;2.0;-5.4
3076;19470110;0.7;2.2;0.0
3076;19470111;2.0;2.6;0.3
3076;19470112;5.4;7.7;2.6
3076;19470113;6.1;9.9;3.0
3076;19470114;4.9;6.2;4.0
3076;19470115;6.2;9.5;4.0
3076;19470116;1.6;4.8;0.0
3076;19470117;4.2;6.1;0.3
3076;19470118;2.9;6.2;1.4
3076;19470119;2.4;5.9;0.5
3076;19470120;-1.1;0.5;-3.3
3076;19470121;-0.8;1.2;-4.0
3076;19470122;-3.4;-0.4;-4.1
3076;19470123;-4.2;-2.0;-5.2
3076;19470124;-5.3;-3.0;-7.5
3076;19470125;-6.8;-4.8;-10.0
3076;19470126;-7.0;-4.3;-9.3
3076;19470127;-9.6;-6.2;-12.0
3076;19470128;-12.6;-8.8;-14.6
3076;19470129;-11.2;-6.3;-15.9
3076;19470130;-9.2;-5.1;-14.0
3076;19470131;-9.3;-5.4;-12.3
3076;19470201;-8.6;-4.2;-13.1
3076;19470202;-7.2;-5.3;-12.4
3076;19470203;-1.9;0.1;-5.7
3076;19470204;-3.2;-0.7;-5.2
3076;19470205;-3.7;-2.5;-4.7
3076;19470206;-4.6;-1.8;-5.6
3076;19470207;-7.6;-2.7;-10.0
3076;19470208;-4.5;-2.0;-12.0
3076;19470209;-2.3;0.4;-3.3
3076;19470210;-1.6;1.5;-4.8
3076;19470211;-3.5;-1.6;-4.8
3076;19470212;-2.6;1.3;-5.5
3076;19470213;-4.3;0.0;-7.0
3076;19470214;-3.8;-0.3;-7.9
3076;19470215;-5.2;-2.0;-7.8
3076;19470216;-5.8;-4.0;-7.5
3076;19470217;-3.6;-1.0;-8.8
3076;19470218;-5.3;-2.5;-7.7
3076;19470219;-5.4;-2.8;-10.6
3076;19470220;-4.5;-3.5;-5.5
3076;19470221;-1.4;1.0;-6.1
3076;19470222;4.0;5.8;1.0
3076;19470223;-3.2;2.9;-4.7
3076;19470224;-4.6;-2.0;-7.0
3076;19470225;-4.4;-3.0;-5.5
3076;19470226;-4.2;-0.8;-9.7
3076;19470227;-2.0;0.8;-8.0
3076;19470228;1.0;4.0;-2.0
3076;19470301;-0.8;1.7;-2.1
3076;19470302;-1.8;2.7;-5.2
3076;19470303;-1.3;2.4;-6.1
3076;19470304;0.0;3.5;-3.7
3076;19470305;2.1;2.8;0.2
3076;19470306;7.5;13.0;2.0
3076;19470307;0.1;7.0;-2.0
3076;19470308;-1.2;2.0;-3.8
3076;19470309;0.5;4.8;-3.9
3076;19470310;1.8;3.2;0.0
3076;19470311;6.4;11.8;1.7
3076;19470312;0.4;4.8;0.2
3076;19470313;4.9;7.0;0.2
3076;19470314;10.3;12.5;5.8
3076;19470315;1.0;9.0;-1.3
3076;19470316;5.3;10.0;-0.6
